study_id,community_id,environment_value,environment_time,environment_name
Leary and Petchey 2009,community-29,24,3,temperature
Leary and Petchey 2009,community-30,20,1,temperature
Leary and Petchey 2009,community-30,22,2,temperature
Leary and Petchey 2009,community-30,24,3,temperature
Leary and Petchey 2009,community-31,20,1,temperature
Leary and Petchey 2009,community-31,22,2,temperature
Leary and Petchey 2009,community-31,24,3,temperature
Leary and Petchey 2009,community-33,20,1,temperature
Leary and Petchey 2009,community-33,22,2,temperature
Leary and Petchey 2009,community-33,24,3,temperature
Leary and Petchey 2009,community-34,20,1,temperature
Leary and Petchey 2009,community-34,22,2,temperature
Leary and Petchey 2009,community-34,24,3,temperature
Leary and Petchey 2009,community-35,20,1,temperature
Leary and Petchey 2009,community-35,22,2,temperature
Leary and Petchey 2009,community-35,24,3,temperature
Leary and Petchey 2009,community-36,20,1,temperature
Leary and Petchey 2009,community-36,22,2,temperature
Leary and Petchey 2009,community-36,24,3,temperature
Leary and Petchey 2009,community-37,22,1,temperature
Leary and Petchey 2009,community-37,24,2,temperature
Leary and Petchey 2009,community-37,26,3,temperature
Leary and Petchey 2009,community-39,22,1,temperature
Leary and Petchey 2009,community-39,24,2,temperature
Leary and Petchey 2009,community-39,26,3,temperature
Leary and Petchey 2009,community-40,22,1,temperature
Leary and Petchey 2009,community-40,24,2,temperature
Leary and Petchey 2009,community-40,26,3,temperature
Leary and Petchey 2009,community-41,22,1,temperature
Leary and Petchey 2009,community-41,24,2,temperature
Leary and Petchey 2009,community-41,26,3,temperature
Leary and Petchey 2009,community-42,22,1,temperature
Leary and Petchey 2009,community-42,24,2,temperature
Leary and Petchey 2009,community-42,26,3,temperature
Leary and Petchey 2009,community-43,22,1,temperature
Leary and Petchey 2009,community-43,24,2,temperature
Leary and Petchey 2009,community-43,26,3,temperature
Leary and Petchey 2009,community-45,22,1,temperature
Leary and Petchey 2009,community-45,24,2,temperature
Leary and Petchey 2009,community-45,26,3,temperature
Leary and Petchey 2009,community-46,22,1,temperature
Leary and Petchey 2009,community-46,24,2,temperature
Leary and Petchey 2009,community-46,26,3,temperature
Leary and Petchey 2009,community-47,22,1,temperature
Leary and Petchey 2009,community-47,24,2,temperature
Leary and Petchey 2009,community-47,26,3,temperature
Leary and Petchey 2009,community-48,22,1,temperature
Leary and Petchey 2009,community-48,24,2,temperature
Leary and Petchey 2009,community-48,26,3,temperature
Leary and Petchey 2009,community-49,22,1,temperature
Leary and Petchey 2009,community-49,24,2,temperature
Leary and Petchey 2009,community-49,26,3,temperature
Leary and Petchey 2009,community-51,22,1,temperature
Leary and Petchey 2009,community-51,24,2,temperature
Leary and Petchey 2009,community-51,26,3,temperature
Leary and Petchey 2009,community-52,22,1,temperature
Leary and Petchey 2009,community-52,24,2,temperature
Leary and Petchey 2009,community-52,26,3,temperature
Leary and Petchey 2009,community-53,22,1,temperature
Leary and Petchey 2009,community-53,24,2,temperature
Leary and Petchey 2009,community-53,26,3,temperature
Leary and Petchey 2009,community-54,22,1,temperature
Leary and Petchey 2009,community-54,24,2,temperature
Leary and Petchey 2009,community-54,26,3,temperature
