study_id,community_id,comm_metric_name,comm_metric_value
Leary and Petchey 2009,community-34,cor,-0.4845072876932842
Leary and Petchey 2009,community-34,eve,0.853434223333547
Leary and Petchey 2009,community-34,var,2.4849633571636217e-4
Leary and Petchey 2009,community-34,total_biomass,0.022912207763868046
Leary and Petchey 2009,community-35,cv,0.4977077509265653
Leary and Petchey 2009,community-35,cov,3.6281540791016406e-5
Leary and Petchey 2009,community-35,cor,0.4711963763264254
Leary and Petchey 2009,community-35,eve,0.6219136578868564
Leary and Petchey 2009,community-35,var,5.770833168554601e-4
Leary and Petchey 2009,community-35,total_biomass,0.025605550526340132
Leary and Petchey 2009,community-36,cv,0.43011040865855504
Leary and Petchey 2009,community-36,cov,-1.7008089028479645e-6
Leary and Petchey 2009,community-36,cor,-0.09858896313609453
Leary and Petchey 2009,community-36,eve,0.5473947878641021
Leary and Petchey 2009,community-36,var,9.966353409485493e-5
Leary and Petchey 2009,community-36,total_biomass,0.011405578113429625
Leary and Petchey 2009,community-37,cv,0.32561452964843274
Leary and Petchey 2009,community-37,cov,5.914528607572557e-5
Leary and Petchey 2009,community-37,cor,0.21388541305528627
Leary and Petchey 2009,community-37,eve,0.8413854051350378
Leary and Petchey 2009,community-37,var,7.287772409197064e-4
Leary and Petchey 2009,community-37,total_biomass,0.04469153982803937
Leary and Petchey 2009,community-39,cv,0.45568595309016957
Leary and Petchey 2009,community-39,cov,-4.3634301876389e-5
Leary and Petchey 2009,community-39,cor,-0.6801265337172004
Leary and Petchey 2009,community-39,eve,0.5119865205607377
Leary and Petchey 2009,community-39,var,0.003964462717722614
Leary and Petchey 2009,community-39,total_biomass,0.06832240342409464
Leary and Petchey 2009,community-40,cv,0.28169388286727015
Leary and Petchey 2009,community-40,cov,-4.3426960021139076e-5
Leary and Petchey 2009,community-40,cor,-0.1761467153811871
Leary and Petchey 2009,community-40,eve,0.8161748055334782
Leary and Petchey 2009,community-40,var,6.526907745124113e-4
Leary and Petchey 2009,community-40,total_biomass,0.04222194187968859
Leary and Petchey 2009,community-41,cv,0.7684220340705823
Leary and Petchey 2009,community-41,cov,7.689230207443958e-5
Leary and Petchey 2009,community-41,cor,0.7900533436480542
Leary and Petchey 2009,community-41,eve,0.6851444301746499
Leary and Petchey 2009,community-41,var,3.9368094880346574e-4
Leary and Petchey 2009,community-41,total_biomass,0.015224694748608941
Leary and Petchey 2009,community-42,cv,0.29685654523187066
Leary and Petchey 2009,community-42,cov,-9.439725298133316e-6
Leary and Petchey 2009,community-42,cor,-0.5086842352807993
Leary and Petchey 2009,community-42,eve,0.5554169827288302
Leary and Petchey 2009,community-42,var,9.762649408232139e-5
Leary and Petchey 2009,community-42,total_biomass,0.014946534336080163
Leary and Petchey 2009,community-43,cv,0.3346603630446977
Leary and Petchey 2009,community-43,cov,2.295823649882458e-4
Leary and Petchey 2009,community-43,cor,0.4939230552255684
Leary and Petchey 2009,community-43,eve,0.9481770698531927
Leary and Petchey 2009,community-43,var,9.384079922709011e-4
Leary and Petchey 2009,community-43,total_biomass,0.05585382683657378
Leary and Petchey 2009,community-45,cv,0.45784802047175077
Leary and Petchey 2009,community-45,cov,-6.905737673805462e-5
Leary and Petchey 2009,community-45,cor,-0.5296437400157177
Leary and Petchey 2009,community-45,eve,0.5214433497941455
Leary and Petchey 2009,community-45,var,0.002981718055906654
Leary and Petchey 2009,community-45,total_biomass,0.0582348777973788
Leary and Petchey 2009,community-46,cv,0.24524020351966017
Leary and Petchey 2009,community-46,cov,-8.486316851318891e-5
Leary and Petchey 2009,community-46,cor,-0.7311144331800422
Leary and Petchey 2009,community-46,eve,0.8007098220391436
Leary and Petchey 2009,community-46,var,2.647876048492137e-4
Leary and Petchey 2009,community-46,total_biomass,0.0198783410535726
Leary and Petchey 2009,community-47,cv,0.6840551101367878
Leary and Petchey 2009,community-47,cov,6.538407776337324e-5
Leary and Petchey 2009,community-47,cor,0.6160525973185629
Leary and Petchey 2009,community-47,eve,0.6436596894730238
Leary and Petchey 2009,community-47,var,5.957484375437953e-4
Leary and Petchey 2009,community-47,total_biomass,0.019701608357305757
Leary and Petchey 2009,community-48,cv,0.3526005994765405
Leary and Petchey 2009,community-48,cov,4.949722785786536e-6
Leary and Petchey 2009,community-48,cor,0.32825855869700116
Leary and Petchey 2009,community-48,eve,0.5686551085435094
Leary and Petchey 2009,community-48,var,3.267446498257772e-5
Leary and Petchey 2009,community-48,total_biomass,0.009252492243636515
Leary and Petchey 2009,community-49,cv,0.34541631010549073
Leary and Petchey 2009,community-49,cov,5.98627961989863e-7
Leary and Petchey 2009,community-49,cor,9.180937360998756e-4
Leary and Petchey 2009,community-49,eve,0.8606087027800502
Leary and Petchey 2009,community-49,var,0.0013135999591371112
Leary and Petchey 2009,community-49,total_biomass,0.05248758023852554
Leary and Petchey 2009,community-51,cv,0.45160379999512706
Leary and Petchey 2009,community-51,cov,-1.729147323064078e-4
Leary and Petchey 2009,community-51,cor,-0.75379597190482
Leary and Petchey 2009,community-51,eve,0.5348251257047474
Leary and Petchey 2009,community-51,var,0.006054731442283751
Leary and Petchey 2009,community-51,total_biomass,0.08365438481767426
Leary and Petchey 2009,community-52,cv,0.5268039573201008
Leary and Petchey 2009,community-52,cov,-4.0813968386664643e-5
Leary and Petchey 2009,community-52,cor,-0.2367471140290852
Leary and Petchey 2009,community-52,eve,0.7021827130287173
Leary and Petchey 2009,community-52,var,5.607299125380421e-4
Leary and Petchey 2009,community-52,total_biomass,0.02077470935432569
Leary and Petchey 2009,community-53,cv,0.38805073926499
Leary and Petchey 2009,community-53,cov,3.137486562903015e-5
Leary and Petchey 2009,community-53,cor,0.5408535846210568
Leary and Petchey 2009,community-53,eve,0.6614945409966247
Leary and Petchey 2009,community-53,var,1.5567883023421265e-4
Leary and Petchey 2009,community-53,total_biomass,0.01904303659615755
Leary and Petchey 2009,community-54,cv,0.40492249332496416
Leary and Petchey 2009,community-54,cov,-2.7982186171571075e-6
Leary and Petchey 2009,community-54,cor,-0.10534494688635086
Leary and Petchey 2009,community-54,eve,0.5443506871800652
Leary and Petchey 2009,community-54,var,1.5222922025051312e-4
Leary and Petchey 2009,community-54,total_biomass,0.014952494131622158
